"movie_id","primaryTitle","originalTitle","genre","runtimeMinutes","releaseYear","language","averageRating"
8176142,"The Sound Story","The Sound Story","Documentary",105,2019,"en",9
8176146,"Podhu Nalan Karudhi","Podhu Nalan Karudhi","Drama",119,2019,"en",4
8176146,"Podhu Nalan Karudhi","Podhu Nalan Karudhi","Comedy",119,2019,"en",4
8176146,"Podhu Nalan Karudhi","Podhu Nalan Karudhi","Action",119,2019,"en",4
8176312,"Gul Makai","Gul Makai","Drama",132,2020,"en",2
8176312,"Gul Makai","Gul Makai","Biography",132,2020,"en",2
8176312,"Gul Makai","Gul Makai","War",132,2020,"en",2
8176578,"Flavors of Youth","Si shi qing chun","Drama",74,2018,"en",7
8176578,"Flavors of Youth","Si shi qing chun","Animation",74,2018,"en",7
8176578,"Flavors of Youth","Si shi qing chun","Romance",74,2018,"en",7
8178486,"Earthquake Bird","Earthquake Bird","Drama",107,2019,"en",6
8178486,"Earthquake Bird","Earthquake Bird","Mystery",107,2019,"en",6
8178486,"Earthquake Bird","Earthquake Bird","Crime",107,2019,"en",6
8178992,"Amazon Hot Box","Amazon Hot Box","Drama",85,2018,"en",5
8178992,"Amazon Hot Box","Amazon Hot Box","Horror",85,2018,"en",5
8178992,"Amazon Hot Box","Amazon Hot Box","Action",85,2018,"en",5
8179024,"Body Cam","Body Cam","Horror",96,2020,"en",5
8179024,"Body Cam","Body Cam","Thriller",96,2020,"en",5
8179024,"Body Cam","Body Cam","Mystery",96,2020,"en",5
8179388,"Rim of the World","Rim of the World","Comedy",98,2019,"en",5
8179388,"Rim of the World","Rim of the World","Adventure",98,2019,"en",5
8179388,"Rim of the World","Rim of the World","Action",98,2019,"en",5
8179470,"Looks That Kill","Looks That Kill","Drama",92,2020,"en",6
8179470,"Looks That Kill","Looks That Kill","Comedy",92,2020,"en",6
8179470,"Looks That Kill","Looks That Kill","Romance",92,2020,"en",6
8180482,"9","9: Nine","Horror",149,2019,"en",7
8180482,"9","9: Nine","Fantasy",149,2019,"en",7
8180482,"9","9: Nine","Sci",149,2019,"en",7
8180482,"9","9: Nine","Fi",149,2019,"en",7
8183346,"Alice in the World of Miracles","Alenka v zemi zázraku","Fantasy",110,2018,"en",3
8183418,"Azougue Nazaré","Azougue Nazaré","Drama",80,2018,"en",7
8183570,"Baby Obsession","Baby Obsession","Thriller",88,2018,"en",5
8183640,"The Goose","The Goose","Drama",72,2018,"en",7
8184066,"The Sixth Post","Shestoy post","Drama",90,2018,"en",7
8184066,"The Sixth Post","Shestoy post","Crime",90,2018,"en",7
8184296,"Under One Umbrella","Ai Ai Gasa","Drama",116,2018,"en",8
8184296,"Under One Umbrella","Ai Ai Gasa","Mystery",116,2018,"en",8
8184296,"Under One Umbrella","Ai Ai Gasa","Family",116,2018,"en",8
8184766,"The Short History of the Long Road","The Short History of the Long Road","Drama",90,2019,"en",6
8184766,"The Short History of the Long Road","The Short History of the Long Road","Adventure",90,2019,"en",6
8185094,"Needi Naadi Oke Katha","Needhi Naadhi Oke Katha","Drama",121,2018,"en",8
8185182,"Long Day's Journey Into Night","Diqiu zuihou de yewan","Drama",138,2018,"en",7
8185182,"Long Day's Journey Into Night","Diqiu zuihou de yewan","Mystery",138,2018,"en",7
8185374,"Staff Only","Staff Only","Drama",82,2019,"en",6
8185412,"Kostis Papagiorgis, the Sweetest Misanthrope","Kostis Papagiorgis, o pio glykos misanthropos","Documentary",92,2018,"en",7
8185442,"It's Boring Here, Pick Me Up","Koko wa taikutsu mukae ni kite","Drama",98,2018,"en",5
8185442,"It's Boring Here, Pick Me Up","Koko wa taikutsu mukae ni kite","Romance",98,2018,"en",5
8186318,"Overcomer","Overcomer","Drama",119,2019,"en",7
8186318,"Overcomer","Overcomer","Family",119,2019,"en",7
